player,matches,total_runs,total_balls_faced,total_fours,total_sixes,dismissals,total_balls_bowled,total_runs_conceded,total_wickets,total_catches,leagues,batting_avg,strike_rate,bowling_avg,economy,overs_bowled
Karun Nair,8,198,115,24,10,8,0,0,0,1,IPL,24.75,172.17,0.0,0.0,0.0
Salil Arora,8,358,180,23,28,5,0,0,0,0,SMAT,71.6,198.88,0.0,0.0,0.0
Angkrish Raghuvanshi,8,222,160,23,6,7,0,0,0,1,IPL,31.71,138.75,0.0,0.0,0.0
Ashutosh Sharma,8,138,96,9,8,7,0,0,0,0,IPL,19.71,143.75,0.0,0.0,0.0
T Natarajan,8,0,0,0,0,0,163,239,9,0,"IPL,SMAT",0.0,0.0,26.56,8.8,27.2
Ayush Badoni,7,206,152,17,6,7,0,0,0,0,SMAT,29.43,135.52,0.0,0.0,0.0
Arshin Kulkarni,7,225,174,25,7,6,0,0,0,0,SMAT,37.5,129.31,0.0,0.0,0.0
Prithvi Shaw,7,183,114,28,4,7,0,0,0,0,SMAT,26.14,160.52,0.0,0.0,0.0
Rinku Singh,7,172,127,14,8,7,0,0,0,0,SMAT,24.57,135.43,0.0,0.0,0.0
Jaydev Unadkat,7,0,0,0,0,0,143,175,11,0,IPL,0.0,0.0,15.91,7.34,23.8
Vipraj Nigam,7,0,0,0,0,0,168,206,13,0,SMAT,0.0,0.0,15.84,7.35,28.0
Ravi Singh,7,218,126,16,17,6,0,0,0,0,SMAT,36.33,173.01,0.0,0.0,0.0
Tushar Deshpande,7,4,5,0,0,1,138,244,6,1,IPL,4.0,80.0,40.67,10.61,23.0
Prashant Veer,7,0,0,0,0,0,150,169,9,0,SMAT,0.0,0.0,18.77,6.76,25.0
Vicky Ostwal,7,0,0,0,0,0,162,174,7,0,SMAT,0.0,0.0,24.85,6.44,27.0
Aman Khan,7,237,151,17,17,7,0,0,0,0,SMAT,33.86,156.95,0.0,0.0,0.0
Auqib Nabi,7,0,0,0,0,0,161,199,15,0,SMAT,0.0,0.0,13.26,7.41,26.8
Gurnoor Brar,6,0,0,0,0,0,139,231,10,0,SMAT,0.0,0.0,23.1,9.97,23.2
Ayush Mhatre,6,325,195,20,25,3,0,0,0,0,SMAT,108.33,166.66,0.0,0.0,0.0
Ishant Sharma,6,0,0,0,0,0,98,188,4,1,IPL,0.0,0.0,47.0,11.51,16.3
Vaibhav Suryavanshi,6,197,117,15,14,5,0,0,0,0,SMAT,39.4,168.37,0.0,0.0,0.0
Brydon Carse,6,9,8,1,0,0,100,186,5,2,T20I,9.0,112.5,37.2,11.16,16.7
Ajay Mandal,6,0,0,0,0,0,132,193,8,0,SMAT,0.0,0.0,24.12,8.77,22.0
Arjun Tendulkar,5,0,0,0,0,0,98,127,8,0,SMAT,0.0,0.0,15.87,7.77,16.3
Vijaykumar Vyshak,4,0,0,0,0,0,84,153,4,0,IPL,0.0,0.0,38.25,10.93,14.0
Suryansh Shedge,3,7,11,0,0,3,18,40,0,1,IPL,2.33,63.64,0.0,13.33,3.0
Akash Singh,3,0,0,0,0,0,67,99,4,0,IPL,0.0,0.0,24.75,8.87,11.2
Yash Thakur,2,0,0,0,0,0,39,79,1,0,IPL,0.0,0.0,79.0,12.15,6.5
Ruturaj Gaikwad,2,6,7,1,0,2,0,0,0,0,IPL,3.0,85.71,0.0,0.0,0.0
Shahbaz Ahmed,2,0,0,0,0,0,42,80,1,0,IPL,0.0,0.0,80.0,11.43,7.0
Manish Pandey,2,73,51,3,4,1,0,0,0,0,IPL,73.0,143.14,0.0,0.0,0.0
Mukesh Choudhary,2,0,0,0,0,0,36,71,1,0,IPL,0.0,0.0,71.0,11.83,6.0
Rahul Tripathi,2,25,32,2,0,2,0,0,0,0,IPL,12.5,78.12,0.0,0.0,0.0
Rasikh Salam,1,0,0,0,0,0,18,35,0,0,IPL,0.0,0.0,0.0,11.67,3.0
Raj Bawa,1,8,4,0,0,0,0,0,0,0,IPL,8.0,200.0,0.0,0.0,0.0
Rahul Chahar,1,0,0,0,0,0,6,9,0,0,IPL,0.0,0.0,0.0,9.0,1.0
Musheer Khan,1,0,3,0,0,1,12,27,1,0,IPL,0.0,0.0,27.0,13.5,2.0
